"category","total_revenue","revenue_share_pct"
"health_beauty","1233131.72","9.45"
"watches_gifts","1166176.98","8.94"
"bed_bath_table","1023434.76","7.85"
"sports_leisure","954852.55","7.32"
"computers_accessories","888724.61","6.81"
"furniture_decor","711927.69","5.46"
"housewares","615628.69","4.72"
"cool_stuff","610204.10","4.68"
"auto","578966.65","4.44"
"toys","471286.48","3.61"
"garden_tools","470495.28","3.61"
"baby","400421.84","3.07"
"perfumery","390144.65","2.99"
"telephony","309860.23","2.38"
"office_furniture","268154.31","2.06"
"stationery","223788.69","1.72"
"computers","218684.14","1.68"
"pet_shop","211695.64","1.62"
"musical_instruments","184315.74","1.41"
"small_appliances","182754.12","1.40"
"electronics","155043.93","1.19"
"fashion_bags_accessories","149329.39","1.14"
"consoles_games","148003.37","1.13"
"construction_tools_construction","142108.49","1.09"
"luggage_accessories","138701.63","1.06"
"home_appliances_2","107953.95","0.83"
"home_construction","81407.57","0.62"
"home_appliances","78832.48","0.60"
"agro_industry_and_commerce","70566.10","0.54"
"furniture_living_room","67350.70","0.52"
"home_confort","58008.45","0.44"
"fixed_telephony","55315.21","0.42"
"air_conditioning","53323.56","0.41"
"audio","50570.60","0.39"
"small_appliances_home_oven_and_coffee","46589.56","0.36"
"kitchen_dining_laundry_garden_furniture","45531.98","0.35"
"books_general_interest","45302.15","0.35"
"construction_tools_lights","39957.00","0.31"
"construction_tools_safety","38773.22","0.30"
"industry_commerce_and_business","38498.81","0.30"
"food","28731.15","0.22"
"market_place","27795.77","0.21"
"costruction_tools_garden","25096.28","0.19"
"art","23657.30","0.18"
"fashion_shoes","23001.46","0.18"
"drinks","21529.84","0.17"
"signaling_and_security","21315.05","0.16"
"furniture_bedroom","19051.80","0.15"
"books_technical","18702.23","0.14"
"costruction_tools_tools","15903.95","0.12"
"food_drink","14942.88","0.11"
"fashion_male_clothing","10452.33","0.08"
"fashion_underwear_beach","9305.95","0.07"
"christmas_supplies","8737.84","0.07"
"tablets_printing_image","7528.41","0.06"
"cine_photo","6674.47","0.05"
"music","6034.35","0.05"
"dvds_blu_ray","4542.59","0.03"
"party_supplies","4465.19","0.03"
"books_imported","4418.86","0.03"
"furniture_mattress_and_upholstery","4323.38","0.03"
"fashio_female_clothing","2634.94","0.02"
"fashion_sport","2094.52","0.02"
"la_cuisine","2054.99","0.02"
"arts_and_craftmanship","1814.01","0.01"
"diapers_and_hygiene","1500.79","0.01"
"flowers","1110.04","0.01"
"home_comfort_2","760.27","0.01"
"cds_dvds_musicals","730.00","0.01"
"fashion_childrens_clothes","519.95","0.00"
"security_and_services","283.29","0.00"
